Insurance,Type,Name,Indication,Carrier,Status,TimeRequirementType,TimeRequirementValue,CompleteRule
FEX,Condition,ADHD,General,Royal Arcanum (Whole Life),Approved,none,,
FEX,Condition,ADHD,General,Standard Life,Approved,none,,
FEX,Condition,ADHD,General,Christian Fidelity,Approved,none,,
FEX,Condition,ADHD,General,Lifeshield,Approved,none,,
FEX,Condition,ADHD,General,Trinity Life,Approved,none,,
FEX,Condition,ADHD,General,Sentinel,Approved,none,,
FEX,Condition,ADHD,General,LCBA (Loyal Christian Benefit Association),Approved,none,,
FEX,Condition,ADHD,General,Illinois Mutual (Path Protector Plus),Approved,none,,
FEX,Condition,ADHD,General,Lafayette Life,Approved,none,,
FEX,Condition,ADHD,General,Transamerica (Solutions),Approved,none,,
FEX,Condition,ADHD,General,Mutual of Omaha (Living Promise),Approved,none,,
FEX,Condition,ADHD,General,Oxford,Approved,none,,
FEX,Condition,ADHD,General,Royal Neighbors (Ensured Legacy),Approved,none,,
FEX,Condition,ADHD,General,Elco (Silver Eagle),Approved,none,,
FEX,Condition,ADHD,General,Foresters (PlanRight),Approved,none,,
FEX,Condition,ADHD,General,Liberty Bankers,Approved,none,,
FEX,Condition,ADHD,General,American Amicable (Senior Choice),Approved,none,,
FEX,Condition,ADHD,General,American Amicable (Dignity Solutions),Approved,none,,
FEX,Condition,ADHD,General,SBLI (Living Legacy),Approved,none,,
FEX,Condition,ADHD,General,Royal Arcanum (SIWL),Approved,none,,
FEX,Condition,ADHD,General,Aflac (Final Expense),Approved,none,,
FEX,Condition,ADHD,General,UHL,Approved,none,,
FEX,Condition,ADHD,General,AIG (SIWL),Approved,none,,
FEX,Condition,ADHD,General,American Amicable (Peace of Mind),Approved,none,,
FEX,Condition,ADHD,General,Baltimore Life (iProvide 45-69),Approved,none,,
FEX,Condition,ADHD,General,American Amicable (Golden Solution),Approved,none,,
FEX,Condition,ADHD,General,Baltimore Life (Silver Guard),Approved,none,,
FEX,Condition,ADHD,General,Aetna (Protection Series),Approved,none,,
FEX,Condition,ADHD,General,GPM,Approved,none,,
FEX,Condition,ADHD,General,Bankers Fidelity Final Expense,Approved,none,,
FEX,Condition,ADHD,General,American Amicable (American Legacy),Approved,none,,
FEX,Condition,ADHD,General,American Amicable (Innovative Solutions),Approved,none,,
FEX,Condition,ADHD,General,CVS (Aetna Accendo),Approved,none,,
